interaction_id,mission_id,profile_id,group_id,mission_domain,mission_complexity_level,mission_duration_days,time_to_deadline_days,is_remote,mission_budget_min,mission_budget_max,profile_experience_level,profile_expected_rate,n_previous_missions_total,n_previous_missions_same_domain,profile_acceptance_rate,profile_completion_rate,profile_avg_response_time_min,profile_rating_mean,same_country,same_region,language_match_score,profile_remote_ok,budget_fit_ratio,skill_overlap_jaccard,embedding_similarity,good_match_label
14,326,1026,326,agriculture,1,17,55,1,1576,4292,0,1095,3,1,0.7159796808039663,0.6662318408143487,1052,4.072199479064967,1,1,1.0,0,3.919634703196347,0.017338101256197558,0.0,1
15,156,1135,156,marketing,2,53,14,0,1703,3173,2,397,33,0,0.7810347972792044,0.8571798109552081,726,3.624261966084963,0,1,0.5,1,7.992443324937028,0.32243085373723024,0.2856658771913471,0
16,57,48,57,marketing,3,41,54,1,1614,3742,0,1198,24,18,0.4283055102751817,0.4075791294139106,572,3.3407561741725456,0,0,0.5,1,3.1235392320534223,0.7626360888515227,0.8077070987763021,1
17,298,823,298,data,2,61,11,0,1819,2060,2,1817,15,7,0.183147066546671,0.31295151044570524,579,4.334524020064283,0,1,1.0,0,1.1337369290038526,0.06741530077027502,0.013328247141126348,1
18,224,181,224,agriculture,1,59,44,0,1562,4542,1,629,19,3,0.8730377863606604,0.7524336581914468,1361,4.080330145515322,0,1,0.5,1,7.220985691573927,0.039514118370121976,0.05355943602136151,0
19,337,1610,337,environnement,3,58,57,0,1069,1698,0,410,11,3,0.003742428349045035,0.0,887,3.47389248293044,1,1,1.0,1,4.1414634146341465,0.4286693444060081,0.38377843137335843,1
20,299,163,299,agriculture,1,48,29,0,1100,1179,1,1530,12,2,0.3750880256655451,0.12876773822060208,786,3.9929981142796525,0,1,1.0,0,0.7705882352941177,0.7484043104392404,0.78864292157045,1
21,321,1864,321,agriculture,1,11,19,0,215,637,0,581,28,20,0.8052961448903022,0.63922100522832,926,3.8641545122752072,0,1,0.5,0,1.0963855421686748,0.39527818570392304,0.38908946715438714,1
22,417,115,417,environnement,2,58,17,1,1250,1496,0,668,45,4,0.010506856589846847,0.0,225,3.4556828230088787,0,1,0.5,1,2.2395209580838324,0.48930510893044726,0.6845043884918998,1
23,263,1222,263,agriculture,3,41,0,0,1495,3243,2,1456,39,10,0.6491026546276127,0.6577879411016536,1140,3.4995565521869647,0,0,0.5,0,2.2273351648351647,0.2999914495284995,0.30459214547877383,1
24,363,668,363,agriculture,1,32,51,1,140,920,0,399,33,18,0.03017655291628296,0.20785743974343995,925,2.0094067653531056,0,0,0.0,0,2.305764411027569,0.6798315928657367,0.657570500690682,0
25,180,222,180,marketing,3,3,31,0,381,2594,1,1470,48,30,0.7177015708893945,0.8303450166377719,1222,4.1753552654553765,1,1,0.0,0,1.764625850340136,0.3687287205291379,0.4716723455442343,1
26,472,716,472,sante,2,63,56,0,1504,4287,1,1483,7,0,0.2957580063243892,0.38254174514201633,1006,2.7048266531236598,0,1,0.5,0,2.890761968981794,0.04296450849066141,0.0,0
27,204,80,204,sante,1,69,12,0,323,3045,2,1204,47,37,0.7137561134564273,0.6679090810294721,829,3.504318555733965,1,1,0.0,1,2.5290697674418605,0.49028611905885516,0.659458373026323,1
28,340,1396,340,environnement,3,37,33,0,1741,4602,0,1881,42,22,0.6797856466201845,0.7628695304340288,1290,3.9778314401026607,0,0,0.5,1,2.446570972886762,0.4569241283557285,0.3580760546763745,1
29,500,1742,500,data,2,76,17,1,926,2510,1,149,1,0,0.4244791314312184,0.6451303184546757,555,3.4492334857485814,0,1,0.5,1,16.845637583892618,0.8412500329548425,0.9604947949362759,1
30,175,660,175,sante,2,1,43,0,1989,3945,1,1182,21,7,0.4780293763989356,0.6053358274899796,612,3.85253660401912,1,1,1.0,0,3.3375634517766497,0.16145715419897871,0.3071181285000097,1
31,51,879,51,sante,3,46,17,0,1680,3027,2,1180,21,2,0.3353812718296486,0.21298004281063568,63,2.7156664511584676,0,1,1.0,1,2.5652542372881357,0.4257326722568801,0.37315204404886193,1
32,116,281,116,marketing,2,45,10,0,1020,2388,1,178,30,11,0.67130318298899,0.46169519342946896,493,2.3461671515076414,1,1,0.5,1,13.415730337078651,0.34032588536146013,0.297354594026398,1
33,122,965,122,sante,2,8,0,1,1997,2702,2,61,1,0,0.5363040097981578,0.5404633117063716,1340,3.5951400816152943,0,0,0.5,0,44.295081967213115,0.08705529745758882,0.07613749605377318,0
34,29,1894,29,marketing,3,51,1,1,487,1089,0,285,47,33,0.798169969707828,0.5564808890085279,441,3.019521849751831,0,1,0.5,0,3.8210526315789473,0.45551224400182594,0.5176668828273934,1
35,272,1077,272,education,3,10,23,0,853,1878,0,970,5,3,0.08287436325632047,0.13379012105394295,973,3.3247031590936373,0,1,1.0,0,1.9360824742268041,0.20038510313658783,0.10057928923039541,1
36,139,1751,139,data,3,67,11,1,963,1256,2,1679,48,36,0.859854009702266,0.6406988621237779,1102,3.6209674834414027,0,1,1.0,0,0.7480643240023823,0.5363084955474348,0.5253858788953559,0
37,49,1561,49,sante,2,61,30,1,380,1337,1,1049,3,1,0.8488671810593617,0.9668579841255835,948,3.1029319224341565,1,1,1.0,0,1.2745471877979027,0.49768101902485573,0.4663385421416656,0
38,69,249,69,education,2,31,55,0,340,2617,2,901,11,3,0.03751545557944125,0.1326083955608706,1219,1.6682752765309656,0,1,0.5,1,2.904550499445061,0.7654879080600222,0.6503566653276969,1
39,137,106,137,marketing,1,66,10,1,1182,2826,1,208,18,0,0.284552998863006,0.2428834029752645,1244,1.8479730369358793,0,1,0.5,1,13.586538461538462,0.7531522433215051,0.6486518160456216,1
40,185,726,185,data,1,38,21,1,1277,4204,1,537,45,33,0.9985227611993119,0.7988582083434347,125,4.523928634302438,0,1,1.0,0,7.828677839851024,0.23873370444905995,0.25155839723049694,0
41,488,1881,488,marketing,1,1,12,0,1919,2179,0,1316,49,9,0.591638854579764,0.8411884091229498,738,3.323590379691854,0,1,0.0,0,1.655775075987842,0.48268990046257815,0.49374243584619204,1
42,352,337,352,education,3,36,15,1,1880,2065,2,495,25,16,0.6041734461977185,0.6136749192519452,525,2.7398151316819215,1,1,0.5,0,4.171717171717172,0.07839243789507538,0.001994715430413768,1
43,358,89,358,environnement,1,13,35,0,1759,1863,2,275,5,1,0.16249081974892343,0.0,421,3.0714276551197264,1,1,1.0,0,6.774545454545454,0.1896306247163899,0.1975548275404358,1
44,347,1919,347,environnement,1,78,24,0,1224,3550,2,1126,16,1,0.9832679733720654,1.0,255,3.73544786238989,0,0,0.5,0,3.152753108348135,0.3954647663499144,0.33076949028397107,1
45,402,396,402,sante,1,22,32,1,1839,4697,1,886,45,19,0.4405783001781288,0.483163389147617,650,3.924999726639379,1,1,1.0,0,5.301354401805869,0.02009433378694664,0.15080343490316447,1
46,160,712,160,sante,1,31,15,0,1752,3257,2,578,19,1,0.43498067810704877,0.3048415477414826,913,3.618870436122268,0,1,0.0,1,5.634948096885813,0.03354009275609371,0.023241904430669588,1
47,50,1561,50,sante,3,11,0,1,1430,3363,1,1049,3,1,0.8488671810593617,0.9668579841255835,948,3.1029319224341565,0,1,1.0,0,3.205910390848427,0.45730265858562447,0.5670561570484707,1
48,255,197,255,marketing,2,59,38,0,511,672,1,1045,3,1,0.09909859076010386,0.11364801733083871,810,3.665404539017672,0,0,0.0,1,0.6430622009569378,0.9134057288772028,0.7441367671874307,1
49,1,343,1,education,1,73,32,1,1567,1797,1,457,13,6,0.0181764831689607,0.0,339,3.068047602215372,0,1,0.0,1,3.9321663019693656,0.3345613955681627,0.3668379780262604,1
50,109,1454,109,data,3,85,14,0,1806,3677,2,1797,6,3,0.08834081988963716,0.0,1323,4.827970664226938,0,0,0.0,1,2.0461880912632164,0.14931838163829453,0.20892625741524873,1
51,377,14,377,sante,2,87,14,1,1035,3134,1,1032,41,11,0.16169001816132167,0.07285714357411628,181,3.3275785008853656,0,1,0.0,1,3.0368217054263567,0.3190701295084042,0.305281792566691,1
52,252,1424,252,data,1,38,54,1,1506,3911,0,1729,39,6,0.12043321224109194,0.22700857429063814,328,1.9720292581135037,0,1,0.5,1,2.2620011567379987,0.32700341038284275,0.27311806453633924,1
53,346,1085,346,agriculture,1,90,37,0,1531,2988,1,600,10,0,0.3113310269803373,0.3127574870448053,377,1.3278328347441355,1,1,1.0,0,4.98,0.24826284149217503,0.23287439637587667,1
54,256,483,256,education,2,8,19,1,418,1414,2,736,5,3,0.7957463798574325,0.8022829793320242,400,3.4680541639300038,1,1,1.0,1,1.921195652173913,0.5786539550119177,0.6529004725645682,1
55,272,1228,272,education,3,10,23,0,853,1878,2,1954,21,13,0.7175838038869466,0.8918581569725477,698,4.077866986346039,0,1,1.0,1,0.9611054247697032,0.029558409070081726,0.0,0
56,151,643,151,environnement,2,34,11,0,1440,1844,2,326,37,1,0.7861214098232535,0.8215226290862797,917,2.528478886419065,1,1,0.5,1,5.656441717791411,0.8489568265540473,0.9190058069947904,0
57,110,1898,110,sante,3,5,7,0,510,2550,2,1093,14,8,0.25579896585567397,0.0592958216188309,504,3.783271348446954,0,0,0.5,0,2.3330283623055807,0.5144919920360961,0.5463285626431549,1
58,130,831,130,marketing,2,59,7,0,1593,4090,1,248,19,0,0.760387253725166,0.6759750790276187,929,3.507094031863953,0,0,0.5,0,16.491935483870968,0.7237618651947977,0.6976826190248057,1
59,400,1497,400,agriculture,2,27,20,1,1457,4235,2,1129,0,0,0.015942438966691785,0.1723498560565947,499,3.253769424717993,1,1,0.5,0,3.7511071744907,0.5609984868648558,0.5391922212969027,1
60,490,536,490,marketing,3,46,56,0,1434,2886,1,1810,32,5,0.3483398982705226,0.2173008081003838,765,2.8949247462407386,0,0,0.5,1,1.594475138121547,0.2552944918013039,0.26148050903969156,1
61,41,1667,41,education,3,64,29,0,820,3037,0,219,21,16,0.7020925120005874,0.7842841170092821,590,3.736655293501606,0,1,0.5,0,13.867579908675799,0.09395938478629368,0.2598213419517813,0
62,269,578,269,marketing,1,86,4,0,311,2743,0,1387,29,6,0.4210841596112086,0.3136595801353116,866,4.487783786614542,0,0,1.0,0,1.9776496034607065,0.055859752570607824,0.09065999702802496,1
63,236,1016,236,sante,3,32,48,1,1163,1814,2,1691,43,29,0.5710055479395585,0.7336560989774752,439,3.5222026930704673,1,1,1.0,0,1.0727380248373743,0.7962417493365236,0.7019725338922365,1
64,282,1604,282,data,2,67,20,0,1521,2243,1,1009,41,12,0.9935898957725838,1.0,401,1.6720184939725389,0,0,1.0,1,2.2229930624380576,0.5518343620850767,0.5083045457093086,1
65,117,1853,117,education,1,90,48,1,1275,1476,0,67,14,4,0.36773412143970663,0.29056684569485086,321,3.5219625743096246,1,1,0.0,1,22.029850746268657,0.5634573673693296,0.448999551096963,1
66,4,1504,4,data,3,80,19,0,1923,2567,2,968,13,2,0.6129489044649707,0.7247570007914526,104,3.13177521261982,0,1,0.0,0,2.6518595041322315,0.3379586886189267,0.1489798599713765,1
67,102,1335,102,agriculture,3,43,45,1,305,2155,1,402,24,12,0.10624890941343745,0.06208667132968968,1102,3.550445046742683,0,0,0.5,1,5.3606965174129355,0.07091418953298112,0.0,1
68,91,1386,91,data,3,46,44,1,719,1098,2,139,20,8,0.25170061126895205,0.3338312280009281,1352,3.18584775868841,0,1,0.5,1,7.899280575539568,0.2739554813438728,0.28596311762714466,0
69,27,813,27,data,3,7,19,1,271,713,1,1662,1,0,0.3015745742535145,0.3513478062700199,1305,4.157224826106575,1,1,1.0,1,0.4290012033694344,0.85065581534479,0.9780515600930395,1
70,179,1374,179,environnement,2,24,56,1,470,2109,0,481,25,19,0.9600821079853646,1.0,505,3.0142061941919387,0,1,1.0,0,4.384615384615385,0.13864078048092363,0.2382181203582618,0
71,342,1150,342,agriculture,2,13,5,0,646,2153,1,568,0,0,0.6906741530430963,0.6832104497976805,1098,2.6461730728716097,0,0,0.0,0,3.790492957746479,0.6456194001910015,0.5300933216222476,1
72,483,1044,483,agriculture,2,27,3,0,1601,3630,1,187,17,8,0.28537447728995946,0.2326078723827719,334,4.113948368250853,0,0,0.0,0,19.41176470588235,0.22894428454800886,0.1491792820525788,0
73,329,627,329,education,3,61,37,0,815,2876,0,1155,36,8,0.23715381712952643,0.37339397062802127,732,3.548058181123616,1,1,0.5,0,2.49004329004329,0.2231130678123352,0.12924468048934878,0
74,88,702,88,agriculture,1,90,4,1,393,2475,0,729,1,0,0.407694242611199,0.08817198888853023,1294,4.141199403416841,0,1,0.5,1,3.3950617283950617,0.42238781934956543,0.1642268747942327,1
75,182,248,182,education,1,84,0,0,430,574,0,518,44,2,0.3889486996552407,0.4864065243660887,708,2.878074735386316,0,1,0.0,1,1.1081081081081081,0.2365358722190004,0.21977177696492697,0
76,152,1442,152,agriculture,2,46,1,0,489,750,1,770,10,7,0.2738191848756514,0.16803085961780867,659,2.5275331939535297,0,0,0.0,1,0.974025974025974,0.007880253865423542,0.08820574935151394,1
77,107,45,107,sante,1,22,9,1,1727,2742,1,1069,41,30,0.332139465051313,0.18383645554174016,1126,2.9416704391431994,1,1,0.5,1,2.5650140318054255,0.012011212997440707,0.0,1
78,496,233,496,data,2,39,0,0,1086,2124,1,847,29,21,0.3347078187910125,0.4147285456831013,352,4.330061429994528,0,0,1.0,0,2.5076741440377806,0.41250928113782104,0.28572762597557,1
79,328,586,328,education,3,8,60,0,461,2132,1,728,42,12,0.6838995770678498,0.7039250603988596,495,1.844126046424018,0,0,0.5,1,2.9285714285714284,0.39647146111338877,0.3119566361996791,1
80,241,283,241,education,3,46,26,0,457,1170,0,456,17,5,0.43818867131701145,0.44722409725726336,662,3.8512309313825726,1,1,0.5,0,2.5657894736842106,0.09621143066235986,0.06332675070415833,1
81,219,1500,219,data,1,73,25,0,1972,4034,0,227,41,6,0.39388021511131754,0.3792610882160768,976,3.03324227001505,0,1,0.5,1,17.770925110132158,0.5197350343334443,0.5967570359283654,1
82,160,253,160,sante,1,31,15,0,1752,3257,2,1584,44,25,0.9101605316960185,0.9606199715403495,1286,3.6310220804306494,1,1,0.0,1,2.0561868686868685,0.3975736428405748,0.3792918466515085,1
83,209,913,209,agriculture,2,26,14,0,869,2370,0,1369,25,12,0.6570185293286328,0.9371396252238253,923,4.365162857253842,1,1,0.5,0,1.731190650109569,0.6924330114162552,0.7559239420585754,1
84,318,1466,318,sante,1,54,15,0,828,3246,1,340,17,3,0.7343457415813933,0.732976842560499,166,2.5430135272419276,0,0,0.5,1,9.547058823529412,0.17256774874138495,0.16443361490806188,1
85,465,1179,465,education,3,77,49,0,751,1390,0,968,16,9,0.9208213047146138,0.8600243632960586,157,4.26662421248727,0,1,1.0,1,1.4359504132231404,0.5841977005431813,0.6078765986463431,1
86,249,1184,249,sante,1,30,49,0,323,3084,2,61,46,36,0.8645978880190527,0.9789273784595736,1040,3.3528544830760887,1,1,0.5,1,50.557377049180324,0.2446478518736516,0.15063093835413166,0
87,93,689,93,environnement,1,76,23,1,1452,4407,0,1763,18,0,0.4804845926588137,0.5111674568717519,849,3.5807800602372115,1,1,0.5,1,2.499716392512762,0.14206327836344496,0.07347879799155833,1
88,479,901,479,marketing,2,21,3,0,848,2497,1,329,27,4,0.1618650900032781,0.10872077563767721,8,3.5215674772244343,0,1,0.0,0,7.589665653495441,0.3144782159482241,0.1888972493590664,0
89,158,1534,158,marketing,2,77,53,1,1989,4757,1,1217,37,14,0.7272886498356969,0.6251908927147561,753,3.122638614079728,0,1,0.5,0,3.9087921117502056,0.7233310397149196,0.7834965810519647,1
90,42,953,42,sante,1,78,14,1,618,2379,2,85,2,0,0.3635542950802999,0.7538504068040655,415,4.112203220776273,0,0,0.5,1,27.988235294117647,1.0,0.9708814870172878,1
91,273,1400,273,education,1,84,22,0,1322,2928,2,129,29,15,0.9779273018640902,0.8498794951450345,398,4.210012581026646,0,1,0.0,0,22.697674418604652,0.47658137062391065,0.11681829895402923,0
92,396,1656,396,environnement,2,54,51,1,1600,4392,0,805,7,4,0.5994533631490071,0.7844356741269259,1105,2.527779820396225,1,1,1.0,0,5.455900621118013,0.4805059108489712,0.5286213525887572,1
93,129,490,129,marketing,2,51,23,0,1033,3577,1,1187,23,13,0.6363698584586601,0.511381004726334,200,4.163795561953091,1,1,0.0,0,3.013479359730413,0.37036162435846476,0.4677757519484921,0
94,140,244,140,data,3,49,16,0,1013,2891,0,1558,0,0,0.3376535588788737,0.5334644883980135,805,2.975312104667254,0,0,1.0,0,1.855584082156611,0.4164269357957351,0.33525588147543534,1
95,145,927,145,environnement,3,30,8,0,1538,4417,1,229,30,17,0.5578155490526845,0.509015458792403,193,3.0186094584899217,0,1,1.0,1,19.2882096069869,0.1928419985265198,0.2408704950975059,1
96,404,767,404,environnement,3,30,15,1,1969,2054,1,1637,10,6,0.24912362838350643,0.2155214498552646,1425,3.0923614901198646,0,1,0.5,1,1.2547342700061088,0.5273327648855217,0.5063599934344247,1
97,479,300,479,marketing,2,21,3,0,848,2497,0,747,30,8,0.9873714975240833,0.979331241345014,1319,4.231529780283018,0,1,0.5,0,3.3427041499330654,0.08649702695160787,0.0,0
98,424,1521,424,marketing,1,61,26,1,796,2076,1,1771,42,30,0.4047596580570104,0.19437493448427687,894,2.4828324982511614,0,1,0.5,1,1.1722190852625636,0.15269228117780803,0.34798904115265117,0
99,114,1248,114,data,2,27,42,1,1863,2131,2,1415,7,2,0.4906596154566065,0.6189805043248788,131,4.798645720307777,0,0,1.0,1,1.5060070671378092,0.5956121764347118,0.575240213439869,1
100,425,1316,425,data,1,24,22,0,1239,3171,1,760,39,29,0.22232892758527967,0.2634984584065614,995,3.785103125888125,0,1,0.5,1,4.1723684210526315,1.0,1.0,1
101,155,1419,155,data,2,28,9,1,183,2205,1,278,17,7,0.8154539365256507,0.8870119869383816,1274,4.311450991792855,0,0,1.0,1,7.931654676258993,0.30457238318512714,0.24211328230962134,0
102,434,871,434,education,2,51,58,0,706,2908,0,1927,21,9,0.454688383626075,0.6557464835800828,572,2.554357066119651,0,1,0.0,0,1.5090814737934612,0.8994646408119977,0.8699116236973934,1
103,496,1021,496,data,2,39,0,0,1086,2124,2,1258,6,1,0.430799198005814,0.3760410465759928,1001,4.362700096775143,1,1,0.5,0,1.6883942766295708,0.0700922272225386,0.08625846748942063,1
104,360,449,360,sante,3,33,44,0,1078,2423,1,1454,26,2,0.046972367034381346,0.0822692009867303,1225,2.811031165963941,0,0,0.0,0,1.6664374140302614,0.39579000010455395,0.2915360349680908,0
105,478,1463,478,education,2,36,20,0,1086,4048,2,1230,43,9,0.6527446645481395,0.5707689142025353,1059,4.348687301745107,0,0,0.0,1,3.2910569105691057,0.01861947452467455,0.1880159458280087,1
106,72,1893,72,agriculture,2,19,22,1,988,3522,0,951,37,0,0.598861703728065,0.2298836667289344,1335,4.205868264921238,0,0,0.5,0,3.7034700315457414,0.7886078755468774,0.8724225513412841,1
107,328,1748,328,education,3,8,60,0,461,2132,0,562,4,2,0.15268114212853778,0.06605988899040248,969,3.0971394851070984,0,0,0.0,0,3.793594306049822,0.8510343305106917,0.9027171844506493,1
108,26,816,26,marketing,1,6,2,0,1272,1946,0,1314,29,7,0.07164154309466397,0.23325759743260258,530,4.352646949034096,1,1,0.0,0,1.4809741248097412,0.536391153369107,0.5222129210129078,1
109,327,100,327,agriculture,3,62,6,0,363,1407,1,511,14,10,0.23256223355248973,0.05869699562600422,352,3.3374153693727955,0,1,0.0,1,2.7534246575342465,1.0,0.9238781281524403,0
110,171,1756,171,education,3,57,46,0,1276,1750,1,1222,39,13,0.671056371126796,0.8619363412247898,600,3.8221929985125,1,1,1.0,0,1.4320785597381342,0.584398828201291,0.6874077895258603,1
111,485,1150,485,data,2,38,38,0,844,3424,1,568,0,0,0.6906741530430963,0.6832104497976805,1098,2.6461730728716097,0,0,1.0,0,6.028169014084507,0.4793022037843053,0.5403715449444099,0
112,248,1556,248,data,1,42,23,0,223,3178,1,189,44,0,0.431112549882419,0.6072976179944904,1288,3.2543245549017166,0,0,1.0,1,16.814814814814813,0.17399828092091305,0.13405603970758323,1
113,382,603,382,environnement,3,26,16,0,1584,2293,0,465,38,9,0.8744933040184423,1.0,1271,3.646493690545389,1,1,1.0,0,4.931182795698925,0.027210441695386,0.0,1
114,152,1724,152,agriculture,2,46,1,0,489,750,1,1038,1,0,0.3076685709511161,0.3111033400222858,583,3.4988459223208777,1,1,0.5,0,0.7225433526011561,0.25537059914623045,0.09778033214968201,1
115,38,1677,38,sante,1,2,6,0,351,791,1,802,17,8,0.29643762516324457,0.13656783755763616,1364,3.8859440111002925,0,0,0.0,1,0.986284289276808,0.7784377606615884,0.7812949820591931,1
116,372,34,372,marketing,1,31,12,1,514,867,0,1657,19,4,0.11052618941831371,0.13798362954088395,932,3.3220500479195283,0,0,0.0,1,0.5232347616173808,0.39311403181335275,0.36822161764802996,0
117,111,1130,111,agriculture,3,57,47,0,1101,2801,1,1490,15,7,0.7900467901418512,0.8392831264958488,521,3.5127053695618256,0,0,0.0,1,1.8798657718120806,0.2226350142530538,0.3411974680073913,1
118,362,955,362,environnement,3,7,18,1,1502,3451,1,1647,22,8,0.9230043510911079,0.9926417871418455,929,4.969880656833703,1,1,0.5,0,2.095324833029751,0.5344535741423344,0.6336740267139089,1
119,233,1316,233,education,3,88,42,1,1369,2604,1,760,39,29,0.22232892758527967,0.2634984584065614,995,3.785103125888125,0,0,0.5,1,3.4263157894736844,0.22441980485107987,0.22830923543932566,1
120,486,519,486,agriculture,2,78,48,0,103,1155,2,513,17,7,0.5945363406217563,0.6163623235164989,1006,3.7984997078881975,0,0,0.5,1,2.2514619883040936,0.8267977049250577,0.8186857351302463,1
121,177,196,177,sante,2,29,9,0,1248,2379,1,1160,17,7,0.9209531874757245,0.9574925862824254,1158,3.072470865478832,0,0,0.0,1,2.0508620689655173,0.4554712290806709,0.3402625033592139,0
122,201,549,201,data,2,80,16,0,1846,2347,1,1744,43,25,0.5563833585825442,0.4206633460217353,182,4.307664291173997,0,0,0.0,0,1.345756880733945,0.35401614486888083,0.46011389567970773,0
123,371,1051,371,data,2,80,2,0,1974,2159,1,240,6,0,0.13341717041818757,0.0,1237,3.298863807399672,0,1,0.0,1,8.995833333333334,0.15317305840163328,0.1475000691461216,0
124,393,540,393,data,2,89,53,1,1603,2939,2,1224,18,3,0.9568575277000096,1.0,995,2.482541265032853,0,1,0.0,0,2.401143790849673,0.4060137374421171,0.4665418355090381,1
125,63,929,63,data,2,13,15,0,795,2086,0,1089,29,8,0.8959781507240482,0.9069613322940974,422,3.832175679597286,1,1,0.0,0,1.9155188246097337,0.3377962278558448,0.45547663999839555,1
126,371,779,371,data,2,80,2,0,1974,2159,0,1832,25,17,0.7441432260434394,0.6904725075259627,1302,3.3275803934924375,0,1,1.0,0,1.1784934497816595,0.062435659563122026,0.005874901342895311,1
127,246,1389,246,education,2,89,59,1,1629,4586,1,1195,20,3,0.16828271599442324,0.031848284557265516,1085,3.3823615196243186,1,1,0.0,0,3.8376569037656902,0.28035830313308485,0.19756673305620603,0
128,495,822,495,agriculture,2,37,45,0,1859,3417,2,227,39,12,0.10433029499531432,0.16625877269494777,948,3.0098206283674904,0,1,1.0,0,15.052863436123348,0.5512224425881291,0.7980930097828791,1
129,316,289,316,marketing,3,27,6,0,1701,1962,2,213,40,11,0.4990194854990422,0.6438206793461516,757,2.4352116044304783,0,1,0.0,0,9.211267605633802,0.12707611433491145,0.1865229924424609,0
130,387,1269,387,education,1,51,39,1,1559,1854,2,908,18,13,0.04966794355407056,0.07621665431426847,1208,3.209940193648152,0,0,1.0,1,2.041850220264317,0.24877033655324982,0.22091049060349213,0
131,172,426,172,education,2,57,34,1,1880,2210,2,436,33,14,0.4856925072237638,0.2759287271163867,999,3.7668605090046356,0,0,0.0,1,5.068807339449541,0.16556986638366777,0.2895594417439069,1
132,142,601,142,agriculture,3,31,3,1,844,3631,2,980,10,4,0.7309583747344611,0.9107561132122444,854,3.2282373952622248,0,0,0.5,1,3.7051020408163264,0.3221521820581613,0.29132648751633966,1
133,393,1414,393,data,2,89,53,1,1603,2939,2,1999,9,6,0.5553862515796613,0.6598612402239805,52,3.53951547589426,0,1,0.0,1,1.4702351175587793,0.5850677694970233,0.6176163079162391,1
134,8,546,8,sante,1,46,29,0,878,3322,2,911,1,0,0.842821309999105,0.7142086930463719,665,4.711369568583201,0,0,0.0,1,3.6465422612513723,0.185912553056265,0.1290892264964317,1
135,291,124,291,sante,1,22,35,0,836,1216,0,1602,0,0,0.12669942971542825,0.0037574557364710715,321,3.982102889528685,0,0,0.0,0,0.7590511860174781,0.49970112729580546,0.4980040768697731,1
136,485,722,485,data,2,38,38,0,844,3424,2,239,24,9,0.27938333978385366,0.0680203512038299,139,2.927119658489802,0,1,1.0,1,14.326359832635983,0.5029775232333463,0.47557051010814344,1
